ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a13	odžak	krov	malo	cued	1	1	0
a13	igla	ubod	malo	cued	1	1	0
a13	sijalica	bandera	malo	cued	1	1	0
a13	sveska	olovka	malo	cued	1	1	0
a13	leptir	cvr?ak 	malo	cued	1	1	0
a13	šiške	trepavice	malo	cued	1	1	0
a13	fotografija	slika	malo	cued	1	1	0
a13	nož	kutla?a	malo	cued	1	1	0
a13	ekran	monitor	malo	cued	1	1	0
a13	cigla	kamen	malo	cued	0	1	0
a13	?arapa	patika	mnogo	cued	1	0	1
a13	narandža	breskva	mnogo	cued	1	0	1
a13	vosak	sve?a	mnogo	cued	0	0	1
a13	deterdžent	sapun	mnogo	cued	1	0	1
a13	autobus	automobil	mnogo	cued	1	0	1
a13	pepeljara	cigareta	mnogo	cued	0	0	1
a13	cimet	bosiljak	mnogo	cued	1	0	1
a13	kiša	žaba	mnogo	cued	0	0	1
a13	tastatura	kompjuter	mnogo	cued	1	0	1
a13	reka	voda	mnogo	cued	1	0	1
a13	cvet	p?ela	mnogo	cued	1	0	1
a14	teorija	nauka	nula	cued	1	0	0
a14	znanje	memorija	nula	cued	0	0	0
a14	nasilje	agresija	nula	cued	0	0	0
a14	poštenje	moral	nula	cued	1	0	0
a14	ljubomora	zavist	nula	cued	1	0	0
a14	šansa	prilika	nula	cued	0	0	0
a14	optimizam	nada	nula	cued	1	0	0
a14	san	mašta	nula	cued	0	0	0
a14	verovanje	religija	nula	cued	1	0	0
a14	dogovor	politika	nula	cued	1	0	0
a14	snaga	sila	nula	cued	1	0	0
a14	plakat	bilbord	malo	cued	0	1	0
a14	odžak	krov	malo	cued	1	1	0
a14	igla	ubod	malo	cued	1	1	0
a14	sijalica	bandera	malo	cued	0	1	0
a14	sveska	olovka	malo	cued	0	1	0
a14	leptir	cvr?ak 	malo	cued	0	1	0
a14	šiške	trepavice	malo	cued	1	1	0
a14	fotografija	slika	malo	cued	1	1	0
a14	nož	kutla?a	malo	cued	0	1	0
a14	ekran	monitor	malo	cued	1	1	0
a14	cigla	kamen	malo	cued	1	1	0
a14	?arapa	patika	mnogo	cued	0	0	1
